month,PfPR,Cases,Severe_cases,New_infections,Anemia,Mean_density,Gametocyte_prevalence,Pop,agebin,Run_Number,Year
5,0.543956043956,6.016483783722,0.0,11,253.6950662136,3.955859501555,0.282967032967,12.13333333333,0.25,3,2023.0
6,0.337552742616,0.0,0.770042181015,1,128.5970442295,3.872438657284,0.3481012658228,15.8,0.25,3,2023.0
7,0.164,2.19000005722,0.0,3,87.60000228882,2.461971312034,0.092,16.66666666667,0.25,3,2023.0
8,0.2399049881235,2.600950062275,0.8669833540916,7,121.3776695728,3.978561934858,0.1401425178147,14.03333333333,0.25,3,2023.0
9,0.2363636363636,0.0,1.327272772789,6,106.1818218231,3.753314982928,0.1963636363636,9.166666666667,0.25,3,2023.0
10,0.1414141414141,3.686868667603,0.0,5,97.70201969147,3.41424794708,0.02020202020202,6.6,0.25,3,2023.0
11,0.3190661478599,2.840466976166,0.0,5,166.1673181057,3.886627460398,0.1517509727626,8.566666666667,0.25,3,2023.0
12,0.3333333333333,4.306784629822,0.0,7,152.8908543587,3.841651552546,0.2035398230088,11.3,0.25,3,2023.0
1,0.1354144695212,2.771567076445,0.0,35,29.64037012309,3.927490148403,0.02278000421852,158.0333333333,5.0,3,2023.0
2,0.1778295888088,0.0,0.0,63,69.62696090341,3.008948580727,0.2191606612972,157.2666666667,5.0,3,2023.0
3,0.4104509060261,5.229666978121,0.3076274693012,97,82.82869610935,3.313433729403,0.1702486304256,158.2,5.0,3,2023.0
4,0.5244536940687,2.126951009035,0.0,105,173.1945821643,3.669464480215,0.436836628512,160.1666666667,5.0,3,2023.0
5,0.7041529605263,3.376850187778,0.3752055764198,62,178.4477721453,3.294384068538,0.5037006578947,162.1333333333,5.0,3,2023.0
6,0.7100409836066,2.169057384133,0.07479508221149,58,167.989754647,2.907509032576,0.546106557377,162.6666666667,5.0,3,2023.0
7,0.684103811841,1.776155769825,0.0,43,133.2116827369,2.609249920978,0.4416058394161,164.4,5.0,3,2023.0
8,0.5591909577632,2.460836872458,0.07237755507231,103,110.3033939302,2.665065536981,0.333928217331,168.1,5.0,3,2023.0
9,0.6544442311384,4.274333082139,0.07007103413343,97,163.6158647016,3.306122378927,0.4096755615281,173.6333333333,5.0,3,2023.0
10,0.7244897959184,3.586545884609,0.137944072485,86,190.9145963192,3.267540737217,0.5820105820106,176.4,5.0,3,2023.0
